asset_id,post_url,post_date,caption_excerpt,visual_what,is_atabek_visible,role_hypothesis,event_name_candidate,event_place_candidate,event_date_candidate,org_speakers_visible,web_match,claim_level,strategic_tag,publish_risk,notes
SPK-001-listing,https://bishkek.events/event/stomatologicheskij-kongress/,2024-03-16/2024-03-30 (listing),"Атабек Раимов @doctor_raimov — Микроимпланты в ортодонтии (минивинты)",Program listing HTML archived,n/a,speaker,Стоматологический Конгресс DemMed,Ош / Бишкек,2024-03-16 / 2024-03-30,DemMed / TishFarm,found: evidence/pages/congress-bishkek-events.html + excerpts/speaking-demmed-congress-2024.md,explicit,TAD_miniscrew,low,SPEAKING_REGISTER SPK-001; primary PDF SPK-002 still missing
C2KnKs5oCsB#caption,https://www.instagram.com/p/C2KnKs5oCsB/,2024-01-16,"Стоматологический Конгресс KG; 3.Атабек Раимов … Микроимпланты…; даты Ош 16.03 / Бишкек 30.03",Carousel promo (reviewed slide = Askat Talantbekov card; caption lists Raimov #3),unclear_on_reviewed_slide,speaker_listed,DemMed Стоматологический Конгресс 2024,Ош / Бишкек,2024-03-16 / 2024-03-30,@demmed.kg @tishfarm.kg,same as SPK-001,explicit,TAD_miniscrew,low,Caption is primary for Raimov listing; reviewed image is another speaker's poster
Cq0ng7mM3zw,https://www.instagram.com/p/Cq0ng7mM3zw/,2023-04-09,"Город Ош… Лучшие организаторы @demmed.kg … Лучшие ученики",video (not fully frame-reviewed),unclear,speaker_or_instructor_hypothesis,DemMed event Ош,Ош,2023-04 (approx from post),@demmed.kg,not_found_primary_PDF,explicit_thanks + role_unclear,education_speaker,low,Earlier DemMed Ош activity before 2024 congress; role not proven as congress speaker
C5No-ntAEgC,https://www.instagram.com/p/C5No-ntAEgC/,2024-04-01,"Отрывок … речи … на конгрессе @demmed.kg",video of speech (audio not transcribed here),yes_likely,speaker,DemMed Конгресс 2024,Бишкек/Ош (caption only),2024-03, @demmed.kg,supports SPK-001,explicit,TAD_miniscrew / speaking,low,Post-congress speech clip; strengthens SPK-001 beyond listing
CWViPCyAPY-#caption,https://www.instagram.com/p/CWViPCyAPY-/,2021-11-16,"Окончил: КРСУ. Стоматологический факультет. Ординатуру проходил в Мед Академии.",Self-intro post; framed certificate in image,yes_as_subject_of_cert,self_bio,n/a education claim,Бишкек / КР,n/a,ПМА,n/a,discovered_self_claim,education,medium,Patient-site needs C-07 clinic confirmation; do not treat IG as diploma proof alone
CWViPCyAPY-#0,https://www.instagram.com/p/CWViPCyAPY-/,2021-11-16,"(same post)",Framed certificate: Раимов Атабек; ПМА; «Ортодонтические Минивинты»; 12ч; Бишкек; 12-13 июня 2019; лектор Фазылиев Азат; директор Абдиев Арсен,yes_named_on_cert,attendee_certificate,ПМА курс минивинты,Бишкек,2019-06-12/13,ПМА / Фазылиев Азат,not_found,visual_strong,TAD_miniscrew / education_attendee,medium,Certificate inventory candidate; rights/OCR year OK; clinic gate for patient-site
DFHJ0n_IvxV#caption,https://www.instagram.com/p/DFHJ0n_IvxV/,2025-01-22,"12го января … #ортокомьюнити … разбирали кейсы… не является обучением",Ortho-community meeting recap,yes,co_host_or_core_organizer,Ортокомьюнити / ortho-community,Бишкек,2025-01-12,@expert_dental_studio @doctor_raimov @muradov_ortho,not_found_independent_listing,explicit,community / education_peer,low,Caption denies this is formal training; peer case review
DFHJ0n_IvxV#banner,https://www.instagram.com/p/DFHJ0n_IvxV/,2025-01-22,"(same)",Banner «ortho-community / ортодонтическая встреча»; handles @expert_dental_studio @doctor_raimov @muradov_ortho; map KG,yes,organizer_host_visual_strong,ortho-community,Бишкек,2025-01-12,clinic + muradov_ortho on banner,not_found,visual_strong,community,low,evidence/instagram-passb/DFHJ0n_IvxV/image.jpg
DM9T9q-IDRp,https://www.instagram.com/p/DM9T9q-IDRp/,2025-08-05,"Прошла очередная встреча нашего ОРТОКОМЬЮНИТИ",video,unclear,organizer_language_наш,Ортокомьюнити,Бишкек,2025-08 (approx),unknown,not_found,explicit_language,community,low,«нашего» = ownership language; still clinic_confirmation for founder claim
DMe2pv-Mu84,https://www.instagram.com/p/DMe2pv-Mu84/,2025-07-24,"Записаться на встречу ортокомьюнити 0504 925 494",video/CTA,unclear,organizer_or_admin_CTA,Ортокомьюнити,Бишкек,unknown,unknown,not_found,explicit_CTA,community,low,Same phone as education CTA cluster
