resource,url,access_attempted,http_status,bytes,checked_at_utc,evidence_saved,notes
"RAIMOV DENTAL home","https://raimovdental.com",yes,200,23131,2026-07-21T13:16:48Z,no,"HTTP reachability only; not official_source"
"RAIMOV DENTAL /ru/","https://raimovdental.com/ru/",yes,200,23131,2026-07-21T13:16:48Z,no,"HTTP reachability only"
"RAIMOV doctor page","https://raimovdental.com/ru/atabek-raimov/",yes,200,9502,2026-07-21T13:16:48Z,no,"HTTP reachability only; content gated in JSON"
"Expert Dental site","https://www.expertdental.kg",yes,200,338485,2026-07-21T13:16:48Z,no,"Historical brand site; brand link to RAIMOV requires clinic confirmation"
"Expert Dental price","http://expertdental.kg/price",yes,200,116621,2026-07-21T13:16:48Z,no,"Public price page probe"
"Instagram clinic handle","https://www.instagram.com/expert_dental_studio/",yes,200,707003,2026-07-21T13:16:48Z,no,"Public URL reachable; ownership/rights not confirmed"
"Instagram doctor handle","https://www.instagram.com/doctor_raimov/",yes,200,710152,2026-07-21T13:16:48Z,no,"Public URL probe; ownership clinic_confirmation_required"
"2GIS firm ID","https://2gis.kg/bishkek/firm/70000001089655879",yes,200,713712,2026-07-21T13:16:48Z,no,"May 200 or 403 depending on UA/geo; needs_manual_validation"
"Yandex Maps house (from site config)","https://yandex.com/maps/10309/bishkek/house/Y00YcAdnTEQHQFpofXR2dX9qZA%3D%3D/",yes,200,358840,2026-07-21T13:16:48Z,no,"Linked from local site config; not clinic_confirmed"
"Google Maps search","https://www.google.com/maps/search/Expert+Dental+Studio+Kyivskaya+88+Bishkek",yes,200,194278,2026-07-21T13:16:48Z,no,"Search shell only; Place ID not asserted"
"YDoc directory","https://ydoc.kg/bishkek/vrach/48904-raimov/",yes,200,54023,2026-07-21T13:16:48Z,no,"Third-party aggregator; not clinic confirmation"
"CA-News who","https://who.ca-news.org/people:62637",yes,200,24048,2026-07-21T13:16:48Z,no,"Third-party bio; unverified"
"Congress listing","https://bishkek.events/event/stomatologicheskij-kongress/",yes,200,50702,2026-07-21T13:16:48Z,no,"Event page listing; not medical credential proof"
"Telegram preview","https://t.me/s/doctor_raimov",yes,200,10853,2026-07-21T13:16:48Z,no,"Public preview page; ownership clinic_confirmation_required"
